"poly-component__picture src","poly-component__title","poly-component__title href","andes-money-amount__fraction","andes-money-amount__fraction 2","andes-money-amount__discount","andes-money-amount__fraction 3"
"https://http2.mlstatic.com/D_Q_NP_2X_935738-MLA84925228681_052025-AB.jpg","Manta Frazada Plush 1 Plaza Y Media (2x1,80 Metros) Liso Beige Natural","https://www.mercadolibre.com.ar/manta-frazada-plush-1-plaza-y-media-2x180-metros/up/MLAU3171421786?pdp_filters=category%3AMLA436258%7Ccondition%3Anew%7Cadult_content%3Ayes%7Cofficial_store%3A210890#polycard_client=mshops-appearance-api&wid=MLA2077425366&sid=storefronts&source=eshops&component=collection_grid&title=Mantas+frazadas+entrega+r%C3%A1pida+FULL.+Compras+mayor+a+%2433.000+Env%C3%ADo+GRATIS&tracking_id=46b5beac-f276-4064-9ddf-88fea6eeeae5","19.840","9.920","50% OFF","2.354"
"https://http2.mlstatic.com/D_Q_NP_2X_851894-MLA84627427852_052025-AB.jpg","Manta Frazada Flannel 2 Plazas Y Media (2,20x2,50 Metros) Liso Turquesa Pastel","https://www.mercadolibre.com.ar/manta-frazada-flannel-2-plazas-y-media-220x250-metros/up/MLAU3168598467?pdp_filters=category%3AMLA436258%7Ccondition%3Anew%7Cadult_content%3Ayes%7Cofficial_store%3A210890#polycard_client=mshops-appearance-api&wid=MLA2078728716&sid=storefronts&source=eshops&component=collection_grid&title=Mantas+frazadas+entrega+r%C3%A1pida+FULL.+Compras+mayor+a+%2433.000+Env%C3%ADo+GRATIS&tracking_id=46b5beac-f276-4064-9ddf-88fea6eeeae5","30.155","10.855","64% OFF","2.576"
"https://http2.mlstatic.com/D_Q_NP_2X_930389-MLA84925222577_052025-AB.jpg","Manta Frazada Flannel 1 Plaza Y Media (2,20x1,80 Metros) Liso Coral Calido","https://www.mercadolibre.com.ar/manta-frazada-flannel-1-plaza-y-media-220x180-metros/up/MLAU3166050605?pdp_filters=category%3AMLA436258%7Ccondition%3Anew%7Cadult_content%3Ayes%7Cofficial_store%3A210890#polycard_client=mshops-appearance-api&wid=MLA1496336297&sid=storefronts&source=eshops&component=collection_grid&title=Mantas+frazadas+entrega+r%C3%A1pida+FULL.+Compras+mayor+a+%2433.000+Env%C3%ADo+GRATIS&tracking_id=46b5beac-f276-4064-9ddf-88fea6eeeae5","26.950","10.780","60% OFF","2.558"
"https://http2.mlstatic.com/D_Q_NP_2X_720356-MLA84925233779_052025-AB.jpg","Manta Frazada Flannel 1 Plaza Y Media (2,20x1,80 Metros) Liso Bordó","https://www.mercadolibre.com.ar/manta-frazada-flannel-1-plaza-y-media-220x180-metros/up/MLAU3171634536?pdp_filters=category%3AMLA436258%7Ccondition%3Anew%7Cadult_content%3Ayes%7Cofficial_store%3A210890#polycard_client=mshops-appearance-api&wid=MLA2077569592&sid=storefronts&source=eshops&component=collection_grid&title=Mantas+frazadas+entrega+r%C3%A1pida+FULL.+Compras+mayor+a+%2433.000+Env%C3%ADo+GRATIS&tracking_id=46b5beac-f276-4064-9ddf-88fea6eeeae5","26.950","10.780","60% OFF","2.558"
